subject,acc,RT,Code,seq,actionseq,timeseq,trial
28329,1,0.477111699990928,3,5,3,395,78
28329,1,0.368885400006548,3,6,3,396,78
28329,1,1.03995220013894,1,1,1,397,78
28329,0,0.844428499927744,1,5,3,398,78
28329,1,0.641369299963117,1,2,1,399,78
28329,1,1.13416099990718,3,6,3,400,78
28329,1,0.95870460011065,2,3,2,401,78
28329,1,0.654741399921477,2,3,2,402,78
28329,1,0.658529200125486,2,4,2,403,78
28329,0,0.902636799961329,3,2,1,404,78
28329,1,0.824884900124744,2,4,2,405,78
28329,0,0.71786139998585,1,6,3,406,78
28329,1,0.815432599978521,1,1,1,407,78
28329,1,0.836804199963808,3,5,3,408,78
28329,1,0.809147000079975,1,1,1,409,78
28329,0,0.911057099932805,3,2,1,410,78
28329,1,0.761334399925545,2,3,2,411,78
28329,1,0.441392699955031,2,4,2,412,78
28329,1,0.629793100059032,3,5,3,413,78
28329,1,0.499282300006598,3,6,3,414,78
28329,1,0.501436699880287,2,4,2,415,78
28329,1,0.319225999992341,2,3,2,416,78
28329,1,0.584650200093165,2,4,2,417,78
28329,1,0.575486499816179,1,1,1,418,78
28329,1,0.838750200113282,3,5,3,419,78
28329,1,0.61151079996489,3,5,3,420,78
28329,1,0.377468799939379,1,2,1,421,78
28329,1,0.664767200127244,3,6,3,422,78
28329,1,0.484036199981347,2,3,2,423,78
28329,1,0.494917100062594,3,5,3,424,78
28329,1,0.665467899991199,1,2,1,425,78
28329,0,0.524651099927723,3,1,1,426,78
28329,1,0.638061600038782,3,6,3,427,78
28329,1,0.586574700195342,2,4,2,428,78
28329,1,0.329026499995962,2,3,2,429,78
28329,1,0.610220500035211,3,6,3,430,78
28329,1,0.54476199997589,1,2,1,431,78
28329,1,0.641525299986824,3,6,3,432,78
28329,1,1.15006159991026,1,1,1,433,78
28329,1,0.549785200040787,3,5,3,434,78
28329,1,0.533969499869272,1,2,1,435,78
28329,1,0.494602399878204,1,1,1,436,78
28329,1,0.545404999982566,2,4,2,437,78
28329,1,0.658020599978045,2,3,2,438,78
28329,1,0.518236799864098,2,3,2,439,78
28329,1,0.631553900195286,1,2,1,440,78
28329,1,0.964057700010017,3,5,3,441,78
28329,1,0.723327700048685,3,6,3,442,78
28329,1,0.572492799954489,1,1,1,443,78
28329,1,0.636004999978468,1,1,1,444,78
28329,1,0.624938899884,2,4,2,445,78
28329,1,0.494873600080609,1,1,1,446,78
28329,1,0.560826199827716,3,6,3,447,78
28329,1,0.520664300071076,1,2,1,448,78
28329,1,0.49778819992207,2,3,2,449,78
28329,1,0.492131300037727,3,5,3,450,78
28329,1,1.11877249996178,2,4,2,451,78
28329,1,0.439804799854755,2,4,2,452,78
28329,1,0.564829299924895,2,3,2,453,78
28329,1,0.52407359983772,3,5,3,454,78
28329,1,0.605057000182569,2,3,2,455,78
28329,1,0.539438100066036,1,1,1,456,78
28329,1,0.459895599866286,1,2,1,457,78
28329,1,0.575827799970284,3,6,3,458,78
28329,1,0.583303999854252,3,6,3,459,78
28329,1,0.518008699873462,1,2,1,460,78
28329,1,0.471529399976134,3,5,3,461,78
28329,1,0.482660199981183,2,4,2,462,78
28329,1,1.06955950008705,2,3,2,463,78
28329,1,0.656645300099626,3,6,3,464,78
28329,1,0.684751599794254,2,4,2,465,78
28329,1,0.911385500105098,1,2,1,466,78
28329,1,0.729521000059322,1,1,1,467,78
28329,1,0.83479980006814,1,2,1,468,78
28329,0,0.717548199929297,2,1,1,469,39
28329,0,0.45495539996773,2,2,3,470,39
28329,0,0.378677100175992,2,3,3,471,39
28329,0,0.665990599896759,1,3,3,472,39
28329,1,1.03713449998759,1,1,1,473,39
28329,1,0.721969200065359,3,3,3,474,39
28329,0,0.931551499990746,1,2,3,475,39
28329,1,0.604327199980617,1,1,1,476,39
28329,1,0.577908599982038,3,2,3,477,39
28329,1,0.545218300074339,1,1,1,478,39
28329,1,0.378025100100785,3,2,3,479,39
28329,1,0.257183300098404,3,3,3,480,39
28329,1,0.405356199946254,1,1,1,481,39
28329,1,0.587475000182167,3,3,3,482,39
28329,1,0.490043400088325,3,2,3,483,39
28329,1,0.396717800060287,3,2,3,484,39
28329,1,0.370754699921235,1,1,1,485,39
28329,1,0.513823499903083,1,1,1,486,39
28329,1,0.411524399882182,3,3,3,487,39
28329,1,0.5693842000328,3,2,3,488,39
28329,1,0.440657699946314,3,3,3,489,39
28329,1,0.405623600119725,3,3,3,490,39
28329,1,0.379349800059572,1,1,1,491,39
28329,1,0.410866900114343,3,2,3,492,39
28329,1,0.44074170012027,3,3,3,493,39
28329,0,0.413329399889335,3,1,1,494,39
28329,1,0.411048999987543,3,3,3,495,39
28329,1,0.504438000032678,3,2,3,496,39
28329,1,0.562722600065172,1,1,1,497,39
28329,1,0.626805200008675,3,2,3,498,39
28329,1,0.463762199971825,3,2,3,499,39
28329,1,0.931338800117373,3,3,3,500,39
28329,1,0.547976499889046,1,1,1,501,39
28329,1,0.628081099828705,3,3,3,502,39
28329,1,0.54509919998236,1,1,1,503,39
28329,1,0.522116400068626,3,2,3,504,39
28329,1,0.403409299906343,3,2,3,505,39
28329,1,0.513562600128353,1,1,1,506,39
28329,1,0.55467680003494,3,3,3,507,39
28329,0,0.901404400123283,1,1,2,508,39
28329,0,0.391384299844503,1,2,2,509,39
28329,1,0.0862974000629038,1,3,1,510,39
28329,1,0.760685499990359,1,3,1,511,39
28329,1,0.77660599979572,2,1,2,512,39
28329,1,0.584097899962217,1,3,1,513,39
28329,0,0.446738000027835,3,2,2,514,39
28329,1,0.842862999998033,2,1,2,515,39
28329,1,0.471391199855134,2,2,2,516,39
28329,1,0.658887400059029,2,1,2,517,39
28329,1,0.334753699833527,2,2,2,518,39
28329,1,0.311189899919555,1,3,1,519,39
28329,1,0.361363999778405,2,1,2,520,39
28329,1,0.273492000065744,1,3,1,521,39
28329,1,0.332856500055641,2,2,2,522,39
28329,1,0.525618999963626,2,2,2,523,39
28329,1,0.5186860000249,2,1,2,524,39
28329,1,0.440414699958637,2,1,2,525,39
28329,1,0.372985899914056,1,3,1,526,39
28329,1,0.675982299959287,2,2,2,527,39
28329,1,0.503621900221333,1,3,1,528,39
