Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q	Blink	LeftWink	RightWink	EyesOpen	LeftEyeLid	RightEyelid
109.000000	4062.564103	4504.615385	4203.076923	4463.076923	4125.128205	4541.025641	4203.589744	4841.025641	4244.615385	4472.820513	4234.358974	4352.820513	4464.615385	4468.717949	1607.000000	2107.000000	34.056000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
110.000000	4061.538462	4500.000000	4202.564103	4462.564103	4125.128205	4541.538462	4204.102564	4839.487179	4241.025641	4472.307692	4232.820513	4350.769231	4464.102564	4469.230769	1611.000000	2103.000000	34.063000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
111.000000	4062.564103	4497.435897	4203.076923	4460.000000	4124.615385	4543.076923	4203.589744	4841.025641	4241.025641	4471.794872	4230.769231	4349.743590	4462.051282	4470.256410	1607.000000	2107.000000	34.071000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
112.000000	4063.589744	4502.051282	4210.256410	4460.000000	4123.076923	4543.076923	4203.589744	4840.512821	4244.102564	4471.794872	4230.769231	4350.769231	4463.076923	4469.230769	1611.000000	2103.000000	34.079000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
113.000000	4064.102564	4500.512821	4213.333333	4462.051282	4122.051282	4540.000000	4203.076923	4837.435897	4242.564103	4472.820513	4231.282051	4350.769231	4466.153846	4468.205128	1607.000000	2103.000000	34.087000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
114.000000	4062.564103	4497.435897	4208.205128	4462.051282	4127.179487	4542.051282	4205.128205	4839.487179	4240.512821	4471.282051	4229.743590	4351.794872	4465.128205	4467.692308	1611.000000	2107.000000	34.095000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
115.000000	4061.025641	4500.512821	4209.743590	4459.487179	4126.153846	4543.589744	4202.564103	4843.589744	4243.076923	4471.282051	4229.230769	4352.820513	4462.051282	4466.666667	1607.000000	2103.000000	34.103000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
116.000000	4062.051282	4502.051282	4214.358974	4459.487179	4120.000000	4540.000000	4199.487179	4842.564103	4244.102564	4472.820513	4231.794872	4352.307692	4462.051282	4466.666667	1611.000000	2107.000000	34.111000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
117.000000	4063.076923	4501.025641	4208.717949	4461.025641	4123.076923	4540.000000	4202.051282	4840.000000	4242.051282	4470.769231	4233.333333	4351.794872	4465.641026	4467.179487	1611.000000	2103.000000	34.119000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
118.000000	4063.589744	4500.000000	4207.692308	4460.000000	4125.641026	4542.564103	4202.051282	4840.512821	4243.589744	4470.256410	4231.794872	4354.871795	4468.205128	4469.230769	1607.000000	2103.000000	34.127000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000	0.000
